County,Density per square mile of land area - Population,Percentage of diabetics
Kanawha County,108.4,13.2
Lewis County,63.4,11.8
Lincoln County,148.6,14.8
Logan County,86.1,15.1
McDowell County,63.4,16.6
Marion County,267.1,12.4
Marshall County,28.6,11.3
Mason County,76.6,11.9
Mercer County,40.6,15.6
Mineral County,420,12.7
Mingo County,11.1,13.3
Monongalia County,58.5,9.6
Monroe County,9.3,13.9
Morgan County,51.7,13.2
Nicholas County,160.5,12.7
Ohio County,130.3,11.4
Pendleton County,28.3,14.8
Pleasants County,23.1,13.6
Pocahontas County,30.9,12.9
Preston County,38.6,10.3
Putnam County,97.8,11.8
Raleigh County,17,13.1
Randolph County,35.9,12.5
Ritchie County,68.4,13.9
Roane County,84,14.8
Summers County,16.5,13.8
Taylor County,46.3,11.8
Tucker County,24.6,13
Tyler County,237.4,13.4
Upshur County,47.6,12
Wayne County,32.3,14.4
Webster County,15.5,14.8
Wetzel County,53.2,14
Wirt County,10.2,14.8
Wood County,468.2,14.5
Wyoming County,20.2,14.6
Adams County,18.8,10.5
Ashland County,153.9,9.5
Barron County,61.9,8.6
Bayfield County,28.7,9.5
Brown County,74.2,9.1
Buffalo County,29.2,8.7
Burnett County,407.7,10.2
Calumet County,101.4,7.9
Chippewa County,57.6,8.3
Clark County,33.9,9.7
Columbia County,51.6,9.5
Crawford County,154.8,9.1
Dane County,9.1,5.8
Dodge County,141.2,9.5
Door County,9.2,9
Douglas County,44.7,8.5
Dunn County,63.1,7.5
Eau Claire County,54.5,7.2
Florence County,31.1,10
Fond du Lac County,7.8,8.3
Forest County,20.7,11.9
Grant County,150.4,9
Green County,34.8,8.3
Green Lake County,611.9,9
Iowa County,60.1,9
Iron County,253.8,12.7
Jackson County,26.6,9
Jefferson County,22.9,7.8
Juneau County,32.7,10.6
Kenosha County,138.3,7.6
Kewaunee County,86.8,8.6
La Crosse County,29.8,7.2
Lafayette County,33.8,8.6
Langlade County,11.8,9.2
Lincoln County,3926,8.9
Manitowoc County,49.6,9.6
Marathon County,37.7,9.1
Marinette County,32.3,10.8
Marquette County,277.2,9.5
Menominee County,370.7,13.2
Milwaukee County,32.2,10.1
Monroe County,71.5,8.2
Oconto County,48.4,8.8
Oneida County,87.4,9.4
Outagamie County,11.3,8.1
Ozaukee County,587.7,9
Pepin County,30.7,9.4
Pierce County,223.3,7.5
Polk County,16.2,10
Portage County,116.8,7.2
Price County,74.6,11.4
Racine County,13.2,9.1
Richland County,47,10.2
Rock County,225.9,9
Rusk County,21.2,8.6
St. Croix County,39.3,8.4
Sauk County,37.6,10.2
Sawyer County,25,9.6
Shawano County,184.2,9.9
Sheboygan County,20,9.6
Taylor County,306.2,7.6
Trempealeau County,709.4,8.8
Vernon County,70.1,8.7
Vilas County,39.1,10.8
Walworth County,384.3,7.2
Washburn County,94.2,10.4
Washington County,8.5,9
Waukesha County,3.7,7
Waupaca County,9.6,9.7
Waushara County,2,9.4
Winnebago County,3.3,8.3
Wood County,2.5,9.5
Albany County,4.4,5.4
Big Horn County,6,9.7
Campbell County,2.4,7.4
Carbon County,2.1,8.4
Converse County,34.2,8.8
Crook County,4.4,8.5
Fremont County,14.1,9.5
Goshen County,0.9,9.2
Hot Springs County,4.1,9.7
Johnson County,4.2,9.6
Laramie County,11.5,9.2
Lincoln County,2.1,7.8
Natrona County,4.2,8.8
Niobrara County,5.3,8.2
Park County,10.1,8.1
Platte County,3.8,10
Sheridan County,3,8
Sublette County,292.1,5.7
Sweetwater County,1360,7.6
Teton County,1668.5,4.3
Uinta County,952.6,8.2
Washakie County,827.2,9.7
Weston County,744.8,8.5
Adjuntas Municipio,765.7,18.3
Aguada Municipio,1304.3,16.2
Aguadilla Municipio,1327.6,15.2
Aguas Buenas Municipio,885.1,15.3
Aibonito Municipio,4695.3,14
Añasco Municipio,723.5,17.4
Arecibo Municipio,2438.6,16.1
Arroyo Municipio,758.5,16.4
Barceloneta Municipio,1449.8,16.9
Barranquitas Municipio,3900.3,14.4
Bayamón Municipio,5808.6,15.8
Cabo Rojo Municipio,926.5,16.1
Caguas Municipio,469.5,14.2
Camuy Municipio,282.3,15.7
Canóvanas Municipio,1207.1,15.3
Carolina Municipio,519.3,16
Cataño Municipio,731.6,16.5
Cayey Municipio,872.4,14.4
Ceiba Municipio,156.4,18
Ciales Municipio,1653,16
Cidra Municipio,1238.7,13.6
Coamo Municipio,833.7,16.5
Comerío Municipio,524.3,15.4
Corozal Municipio,698,15
Culebra Municipio,510.5,17.6
Dorado Municipio,3550.7,15.2
Fajardo Municipio,1626.9,17.4
Florida Municipio,1004.1,15.5
Guánica Municipio,1520.6,17.2
Guayama Municipio,1306.4,15.9
Guayanilla Municipio,825.1,17.8
Guaynabo Municipio,373.7,12.3
Gurabo Municipio,841.9,14.9
Hatillo Municipio,1521,16
Hormigueros Municipio,429.6,19
Humacao Municipio,500.5,14
Isabela Municipio,213.1,15.9
Jayuya Municipio,1141.5,15.2
Juana Díaz Municipio,1552.2,15.6
Juncos Municipio,777.5,14.3
Lajas Municipio,977.5,17
Lares Municipio,171.4,16.4
Las Marías Municipio,580.3,16.6
Las Piedras Municipio,1147.3,15.3
Loíza Municipio,796.7,15.7
Luquillo Municipio,838.9,17.6
Manatí Municipio,517.2,20.9
Maricao Municipio,1109.5,17.1
Maunabo Municipio,368.2,17.3
Mayagüez Municipio,412.8,15.7
Moca Municipio,544.2,14.6
Morovis Municipio,1449.3,15.6
Naguabo Municipio,1142.7,15.8
Naranjito Municipio,1063.8,15.3
Orocovis Municipio,895.8,14.8
Patillas Municipio,705.1,18.5
Peñuelas Municipio,448,16.3
Ponce Municipio,651.9,16
Quebradillas Municipio,8262.3,15.8
Rincón Municipio,773.1,17.3
Río Grande Municipio,602.5,14.9
Sabana Grande Municipio,684.1,16.9
Salinas Municipio,2741.5,17.1
San Germán Municipio,3855.7,17.1
San Juan Municipio,3604.4,12.9
San Lorenzo Municipio,292,15
San Sebastián Municipio,1440.8,18.7
Santa Isabel Municipio,1301.1,14.3
Toa Alta Municipio,183.2,12.9
Toa Baja Municipio,731.6,15
Trujillo Alto Municipio,687.2,13.4
Utuado Municipio,616.5,15.2
Vega Alta Municipio,605,15.8
Vega Baja Municipio,130,15.2
Vieques Municipio,300,18.6
Villalba Municipio,240,15
Yabucoa Municipio,175,16.5
Yauco Municipio,299,13
