FIPS Codes,County,percent (men)_2010,percent (women)_2010,percent (men)_2013,percent (women)_2013,Geographic area,Density_Population
33005,Grafton County,9.7,7.6,9.6,8.1,Grafton County,52.2
33007,Hillsborough County,10.3,7.8,9.9,8.4,Hillsborough County,457.4
33009,Merrimack County,9.3,7.2,9.9,8.4,Merrimack County,156.8
33011,Rockingham County,9.2,6,10.3,7.9,Rockingham County,425
33013,Strafford County,10.1,8.1,10.5,10.6,Strafford County,333.7
33015,Sullivan County,9.9,7.4,10.8,9.6,Sullivan County,81.4
33017,Atlantic County,10.5,9.3,12.1,10.7,Atlantic County,494.1
33019,Bergen County,8.3,6.9,8.9,7.1,Bergen County,3884.5
34001,Burlington County,9.9,9.2,10.1,8.8,Burlington County,561.9
34003,Camden County,9.8,8.8,11.1,9.8,Camden County,2321.5
34005,Cape May County,11.9,10.7,12.1,10,Cape May County,386.9
34007,Cumberland County,12,11.3,11.6,11.5,Cumberland County,324.4
34009,Essex County,9.6,9.8,10.5,10.9,Essex County,6211.5
34011,Gloucester County,10.1,8.9,12.5,10.3,Gloucester County,895.3
34013,Hudson County,8.1,7.3,7.7,7.2,Hudson County,13731.4
34015,Hunterdon County,7.5,5.7,8.1,5.9,Hunterdon County,300
34017,Mercer County,9.6,8.3,10,9.2,Mercer County,1632.2
34019,Middlesex County,9.9,8.5,10.4,9.3,Middlesex County,2621.6
34021,Monmouth County,9.3,7.7,10.1,7.9,Monmouth County,1344.7
34023,Morris County,8.3,6.5,8.8,7,Morris County,1069.8
34025,Ocean County,12.9,9.5,12.7,9.8,Ocean County,917
34027,Passaic County,10,8.3,8.8,7.8,Passaic County,2715.3
34029,Salem County,12.1,10.8,12.7,10.8,Salem County,199.1
34031,Somerset County,8.3,6.6,9.1,7.9,Somerset County,1071.7
34033,Sussex County,8.4,6.6,9.5,7.7,Sussex County,287.6
34035,Union County,8.9,7.6,8.2,7.5,Union County,5216.1
34037,Warren County,9.4,7.9,9.9,8.5,Warren County,304.5
34039,Bernalillo County,6.3,5.6,8.1,6.6,Bernalillo County,570.8
34041,Catron County,10.9,8.2,11.6,8.6,Catron County,0.5
35001,Chaves County,11.1,9.5,10.1,8.4,Chaves County,10.8
35003,Cibola County,11.2,12.1,12.6,14.4,Cibola County,6
35005,Colfax County,9.8,8.2,10,8.4,Colfax County,3.7
35006,Curry County,8.9,8.7,7.9,7.7,Curry County,34.4
35007,De Baca County,10.4,8.4,10.9,8.7,De Baca County,0.9
35009,Doña Ana County,7.7,6.7,7.9,6.9,Doña Ana County,55
35011,Eddy County,10.9,10.7,10,9.4,Eddy County,12.9
